val_td_live,level,area,label
20127,4,10.12544991,36418
790,5,116.1009926,11510
2910,4,136.2217898,21193
5456,3,81.56905163,36342
4939,4,29.88229893,9169
2765,3,137.7369043,23979
1867,3,105.6116058,13473
4774,3,655.4979153,32648
1200,3,223.4438871,11000
3109,5,218.4739193,10362
4735,2,223.9953456,19319
58360,2,384.6950641,124717
1099,5,330.762065,8655
77,4,4.243161165,2248
7695,4,91.4487798,42690
4012,3,202.1754245,50346
325,4,111.9022549,7611
1491,1.5,31.71900117,12567
22803,5,217.535811,54429
1388,4,70.44091502,10410
623,5,52.88097386,6498
2721,5,205.9831077,18738
356,4,223.8615578,2053
18189,5,113.7511563,15835
5874,2,91.42575992,30583
2850,4,59.89552139,13874
2885,4,82.35497449,16913
1655,5,150.4955022,18044
9133,3,26.00484501,8697
970,4,140.2980704,6847
713,4,41.14890253,19532
6834,4,111.3143672,32696
1808,5,269.3601102,13653
176,5,138.208342,3653
482,5,71.02174867,5870
17050,4,560.4471606,20530
17050,4,560.4471606,12535
1655,4,59.89329211,19608
2,4,1.81908308,7512
1400,4,65.99218205,21778
3174,3,71.48123347,32101
22677,2,58.10949819,39983
6787,4,37.32673829,32622
3438,4,173.310108,28273
1294,5,95.39325742,14105
3959,1.5,50.4466611,22778
9810,4,47.14289323,43440
5886,4,215.3601128,14286
5886,4,215.3601128,43653
1205,5,175.13951,9576
3308,5,1162.452242,17985
5537,1.5,227.8964957,32213
1008,5,76.5200746,5188
9638,3,2.226196414,18275
776,5,253.1107604,20412
8275,4,67.64900362,49066
1471,3,56.03139324,14570
2450,4,138.2902327,22663
10571,4,84.06773923,36426
16095,2,73.57917996,73149
269,5,36.29873658,4235
706,4,56.65403188,6109
47077,2,13.89909693,42117
4907,3,50.1966808,22927
9655,5,71.86226614,45437
2428,5,297.2900005,16075
1576,5,34.08908422,9311
371,5,227.6210239,2927
4354,4,121.5019096,34084
20840,5,1.687541419,34374
708,4,54.31723363,3589
5703,5,541.4040528,32918
72949,3,61.42515219,115387
8842,2,50.48317567,29615
7463,4,67.21573141,33926
11339,4,67.7082991,38106
2445,2,155.8062937,32905
2237,4,44.80269465,12974
18882,3,167.0702782,46068
584,5,668.7662705,2035
19438,4,12.44229869,20542
740,3,21.13433846,9468
1705,4,445.5032431,6506
29872,4,3.461847525,63907
3118,4,200.026271,17444
6096,4,64.98310109,34709
1785,1.5,138.6918936,14203
9609,3,39.89996816,30841
43463,4,182.9204144,73678
4582,3,151.8240971,50940
10032,4,17.67045532,28241
7375,4,65.21168856,31320
1221,4,111.9223022,11895
19517,2,1.012787124,24313
8894,3,61.82681156,39609
160700,1.5,118.9767272,164891
8627,3,131.0027946,40059
6517,3,193.6674749,29515
24689,4,11.9495406,48464
21993,1.5,38.41921284,50251
4972,5,826.1597178,10988
226,5,1065.898503,5298
162826,2,65.06899327,221881
549,5,210.9301853,14176
21384,2,2.458342961,36104
1309,3,214.8521395,16839
955,4,86.56789898,10438
0,5,0.605237097,498
2529,4,24.74521953,18240
661,5,5.415051849,8945
2139,2,792.9627864,20959
2409,4,435.6070237,21391
13972,3,160.8061365,34047
4930,4,46.51030054,25203
3102,1.5,15.01490746,12729
174,2,116.073729,3630
3726,4,29.4048702,17998
8782,4,61.75597608,44029
619,4,67.02612796,7003
2511,1.5,68.8807347,11256
567,3,37.0850264,7935
1553,1.5,65.03759771,18727
52111,1.5,12.33540135,72020
8046,4,65.99870798,47743
79749,1,3.581192822,59551
3996,3,123.5302869,25470
24840,1.5,1.007676654,28358
3944,5,279.9089359,7390
37112,2,21.04247169,48736
1898,4,60.3507576,11169
4119,4,103.1529461,35326
1135,1.5,143.3591918,18061
6463,3,215.2870253,20811
10636,3,57.76757661,54899
22685,3,61.9020649,64100
1490,5,508.3080886,37902
4595,4,37.16688969,24365
10424,4,1826.811799,18247
3851,2,43.60335372,19806
10134,4,44.23296344,15761
2521,2,73.5582545,16003
1174,5,272.4511431,24605
7177,4,75.53636076,33688
3784,4,140.8518636,21179
4607,4,43.84155832,27982
1066,4,157.4271073,13734
3240,3,183.0991886,16209
1462,2,135.4224279,15119
1860,3,339.05479,13394
1464,4,3.866418036,2824
3554,4,203.980364,26650
46454,3,32.5534816,67652
4205,1.5,122.550623,29134
10058,3,79.48533537,45866
2489,5,299.8900633,40061
2080,4,47.92690781,19959
646,5,49.43247875,5761
329,3,114.9200617,6451
86,5,462.1688669,3155
114,3,89.6521176,1924
8132,3,198.3243371,58026
1187,4,37.68179371,10604
4371,4,117.4680465,34606
109720,2,98.15333678,171429
487,4,92.00851517,4521
36050,1.5,1.445810251,44013
14008,2,73.03601331,51601
2325,1.5,89.17750507,9381
41530,5,22.60874496,84286
2038,5,226.0245446,14037
45743,1.5,1.397205637,61668
37307,5,204.4805754,96582
10974,4,421.6237664,19583
4127,5,207.6470853,29426
756,5,79.45297097,8339
3683,5,296.0817693,25805
131475,4,29.6414683,112142
8406,4,370.3748489,29226
16604,3,1.319591531,33117
1029,4,429.6537438,13371
604,5,530.5654655,2018
4387,3,76.88542891,20797
2372,4,35.53784795,16017
18559,1.5,79.61196405,29405
2916,4,1.129948576,6541
2778,5,689.8471235,25952
505,5,168.5728491,5687
1056,4,1692.009578,11975
5085,5,52.67044133,24317
32008,5,8.94368705,71808
525,5,37.18397934,5350
20499,5,5775.573205,40290
4937,5,150.6616146,25530
5712,5,54.8577003,33973
1390,1.5,188.5352993,11451
2292,4,595.7447548,8546
17351,2,75.85711192,52985
5713,5,486.3369888,34160
6574,3,93.46360929,18574
25914,2,103.2791918,63089
1484,5,37.40234138,15166
2383,4,219.9653329,13650
90622,1.5,50.3167895,37626
5640,4,300.2631841,34653
9022,5,72.58223603,36956
7357,4,124.8261824,42534
8784,3,0.734207495,27555
49216,5,133.4445416,114919
14463,2,162.1348958,70816
9871,3,78.96733613,36391
894,5,109.4616336,10421
7308,3,143.210164,23656
7304,3,56.44131916,35178
8086,3,89.79375491,45886
4834,3,20.26156702,19634
222,5,91.36901048,7772
1233,5,202.2799313,7818
1101,5,179.4434881,6807
16828,4,0.838285193,31657
8997,3,197.7790553,30701
73,3,48.87759587,1246
20056,1.5,162.8808823,55540
12827,2,94.67140124,38963
8681,3,19.66266173,13627
3507,5,185.4526062,18392
2386,3,159.8954823,14899
596,4,42.80183582,5849
3063,3,42.95813599,12464
28538,1.5,3.26656025,47873
8596,4,166.1268727,34005
27615,4,65.76096294,56850
3023,5,217.7724147,22383
304,5,52.02029889,12930
626,1.5,40.99726543,8602
822,5,266.8281678,2759
16230,3,5.462789387,19997
1897,4,86.57250906,11613
4420,3,156.3490074,29962
13499,3,191.5602886,82496
7487,4,41.98578476,35940
5252,3,61.63395931,27361
10217,5,75.26419675,43570
2970,5,4142.848999,12636
8726,5,122.913227,61753
6943,2,160.5352973,11604
3,5,14.18783776,463
3261,5,390.1770503,16790
33309,1.5,88.00349126,50455
369,5,49.91358995,1777
6182,1.5,76.48399442,26767
1258,4,44.61233231,18834
5307,2,651.4791889,26557
